Wall time,Step,Value
1583748306.7337563,20,0.2709263861179352
1583748323.9785213,40,0.31683453917503357
1583748341.078936,60,0.3349677622318268
1583748349.598277,70,0.3343096673488617
1583748366.6501057,90,0.3361679017543793
1583748383.7465193,110,0.3405446410179138
1583748392.2639477,120,0.3440922796726227
1583748400.781514,130,0.34659111499786377
1583748409.2875664,140,0.3463986814022064
1583748417.7913043,150,0.34778374433517456
1583748426.306107,160,0.34791454672813416
1583748434.81183,170,0.35186901688575745
1583748443.315866,180,0.35272637009620667
1583748451.8196828,190,0.35369548201560974
1583748460.339155,200,0.3542419970035553
1583748468.8440914,210,0.35588422417640686
1583748485.880324,230,0.3562258780002594
1583748502.9059348,250,0.3574313819408417
1583748511.412073,260,0.3584660589694977
1583748553.9800022,310,0.3624393045902252
1583748562.4926758,320,0.3632749021053314
1583748571.009993,330,0.3640477657318115
1583748579.511427,340,0.3650205731391907
1583748588.0283144,350,0.3662397265434265
1583748703.5979404,370,0.3946070075035095
1583748729.2593045,400,0.3721480071544647
1583748737.802053,410,0.37473228573799133
1583748754.8968296,430,0.38133782148361206
1583748763.4509513,440,0.38503631949424744
1583748771.9979382,450,0.38329896330833435
1583748780.565317,460,0.38426685333251953
1583748789.0984578,470,0.38743188977241516
1583748797.6576867,480,0.3859349191188812
1583748814.7653463,500,0.385463684797287
1583748823.3188035,510,0.3849128484725952
1583748849.146834,540,0.38530582189559937
1583748857.780543,550,0.3875874876976013
1583748866.352851,560,0.38780704140663147
1583748874.8930383,570,0.38779932260513306
1583748883.4418454,580,0.3878665864467621
1583748909.093968,610,0.386013001203537
1583748917.6424305,620,0.3852100670337677
1583748926.1953256,630,0.38486647605895996
1583748934.853499,640,0.38479095697402954
1583748943.409333,650,0.3846784830093384
1583748951.9533477,660,0.3850979506969452
1583748960.5162725,670,0.38574662804603577
1583748969.0726814,680,0.3851337730884552
1583748977.631897,690,0.38644662499427795
1583748986.179647,700,0.38684988021850586
1583749103.703985,720,0.3753703832626343
1583749112.2839386,730,0.4121411144733429
1583749120.8654706,740,0.4021020829677582
1583749129.4559066,750,0.4120343327522278
1583749146.6349328,770,0.39685511589050293
1583749163.8041604,790,0.39318275451660156
1583749172.378287,800,0.3896908462047577
1583749189.5459137,820,0.3857835829257965
1583749198.1292386,830,0.3861234784126282
1583749215.3115675,850,0.3870238959789276
1583749223.89266,860,0.3891109526157379
1583749232.4754815,870,0.3923164904117584
1583749241.0539646,880,0.3932846486568451
1583749249.651,890,0.3950934112071991
1583749258.2396867,900,0.3930650055408478
1583749275.4218938,920,0.39369723200798035
1583749284.0023956,930,0.39254310727119446
1583749292.5839064,940,0.39177078008651733
1583749301.159596,950,0.3912145495414734
1583749318.325282,970,0.39058762788772583
1583749344.0957592,1000,0.38927146792411804
1583749352.6799057,1010,0.3881714642047882
1583749369.848207,1030,0.38843366503715515
1583749387.0720208,1050,0.38959449529647827
1583749395.7423432,1060,0.38902047276496887
1583749404.4329298,1070,0.3883480727672577
1583749543.593886,1100,0.3959521949291229
1583749552.269411,1110,0.4041781723499298
1583749578.2854488,1140,0.40382203459739685
1583749603.9247222,1170,0.40343064069747925
1583749612.472182,1180,0.40170300006866455
1583749621.0215554,1190,0.4028855264186859
1583749629.5685978,1200,0.3986586332321167
1583749638.1237495,1210,0.39810648560523987
1583749663.7603455,1240,0.39685356616973877
1583749672.315424,1250,0.397775262594223
1583749680.8655672,1260,0.39740481972694397
1583749689.4087071,1270,0.39655324816703796
1583749697.95972,1280,0.39877477288246155
1583749715.0637457,1300,0.39928022027015686
1583749723.6017044,1310,0.39986711740493774
1583749749.2632194,1340,0.4006737768650055
1583749774.898702,1370,0.4025071859359741
1583749783.4467568,1380,0.4035307765007019
1583749800.5349934,1400,0.40499210357666016
1583749817.6332498,1420,0.40570229291915894
1583749926.85714,1430,0.47274553775787354
1583749935.3743563,1440,0.4469397962093353
1583749943.8983963,1450,0.4377204477787018
1583749952.418207,1460,0.43137457966804504
1583749960.9361906,1470,0.4366588592529297
1583749977.98032,1490,0.4166772961616516
1583749986.5029452,1500,0.42003700137138367
1583749995.022816,1510,0.41602393984794617
1583750003.534852,1520,0.41320961713790894
1583750020.563159,1540,0.40873464941978455
1583750029.0784516,1550,0.40513017773628235
1583750037.5976746,1560,0.4034278094768524
1583750054.6406348,1580,0.40457281470298767
1583750063.1519206,1590,0.405399888753891
1583750071.6642532,1600,0.40694987773895264
1583750088.690559,1620,0.4075375199317932
1583750097.195812,1630,0.4081844687461853
1583750114.2288208,1650,0.40755558013916016
1583750122.7528305,1660,0.4069829285144806
1583750139.9045327,1680,0.40714848041534424
1583750148.422023,1690,0.40821874141693115
1583750156.9415112,1700,0.4074482023715973
1583750173.9945903,1720,0.4084579050540924
1583750182.5101275,1730,0.40877383947372437
1583750208.0531657,1760,0.4085454046726227
1583750216.570708,1770,0.40839290618896484
1583750225.0924,1780,0.4084348678588867
1583750334.2637084,1790,0.35987433791160583
1583750351.382005,1810,0.4003857970237732
1583750359.9353547,1820,0.4127965569496155
1583750377.0573702,1840,0.41199061274528503
1583750394.1506839,1860,0.40271997451782227
1583750402.707412,1870,0.40777283906936646
1583750411.2707133,1880,0.40732455253601074
1583750419.82058,1890,0.4103512763977051
1583750436.9333584,1910,0.4100063145160675
1583750445.489123,1920,0.40988174080848694
1583750471.1539261,1950,0.4135702848434448
1583750505.3385522,1990,0.41461458802223206
1583750513.89788,2000,0.4142933189868927
1583750539.5714478,2030,0.4116882383823395
1583750548.1258874,2040,0.4101543724536896
1583750565.232527,2060,0.41211777925491333
1583750573.795943,2070,0.4132751226425171
1583750582.3513908,2080,0.41347283124923706
1583750590.9100826,2090,0.41444459557533264
1583750599.4587533,2100,0.4141095280647278
1583750625.1133265,2130,0.41354215145111084
1583750633.663329,2140,0.4136918783187866
1583750740.1978574,2150,0.40436211228370667
1583750748.7916148,2160,0.4375597834587097
1583750774.5630376,2190,0.4286750257015228
1583750783.1603434,2200,0.42338019609451294
1583750791.7449486,2210,0.42218661308288574
1583750800.3270686,2220,0.4192699193954468
1583750808.9075005,2230,0.4191315174102783
1583750817.4971623,2240,0.41935861110687256
1583750834.6772454,2260,0.41850653290748596
1583750843.2691355,2270,0.41746217012405396
1583750851.8549123,2280,0.4150001108646393
1583750869.028108,2300,0.41809239983558655
1583750877.6149955,2310,0.4205273985862732
1583750886.2036955,2320,0.41981741786003113
1583750894.8038208,2330,0.4196454882621765
1583750903.3965187,2340,0.4202193021774292
1583750911.9935048,2350,0.4185313582420349
1583750920.5785866,2360,0.41961735486984253
1583750937.7534385,2380,0.41971802711486816
1583750946.3396683,2390,0.4192206859588623
1583750963.522054,2410,0.4198377728462219
1583750997.8719258,2450,0.4211488664150238
1583751006.4607537,2460,0.42040690779685974
1583751023.6392844,2480,0.41967010498046875
1583751032.2259746,2490,0.4201534688472748
1583751138.749138,2500,0.3719797134399414
1583751147.303077,2510,0.43353739380836487
1583751155.8479245,2520,0.421467125415802
1583751164.4044998,2530,0.43378308415412903
1583751172.942931,2540,0.41865870356559753
1583751190.048732,2560,0.4253041446208954
1583751215.7047982,2590,0.4219968616962433
1583751224.2549489,2600,0.42159929871559143
1583751232.8037388,2610,0.41932833194732666
1583751241.346768,2620,0.42038118839263916
1583751258.4607956,2640,0.41801339387893677
1583751275.5601466,2660,0.4179133474826813
1583751292.6642568,2680,0.4179995656013489
1583751309.7651098,2700,0.4183143377304077
1583751326.8637097,2720,0.4166640341281891
1583751335.4155352,2730,0.4183395206928253
1583751343.9520373,2740,0.41825586557388306
1583751352.5055501,2750,0.4192572236061096
1583751361.0604482,2760,0.41986748576164246
1583751378.1553771,2780,0.42043817043304443
1583751386.7082183,2790,0.4218076765537262
1583751403.814353,2810,0.4239400029182434
1583751412.3579214,2820,0.424305260181427
1583751420.9079492,2830,0.42561644315719604
1583751438.005193,2850,0.42717912793159485
1583751578.5961044,2900,0.42208343744277954
1583751595.6223326,2920,0.4278823733329773
1583751604.1502671,2930,0.43001988530158997
1583751621.1832876,2950,0.4346402585506439
1583751629.6982784,2960,0.43678539991378784
1583751638.2191005,2970,0.4344790279865265
1583751646.7339833,2980,0.43808332085609436
1583751655.252941,2990,0.4363260567188263
1583751663.7727969,3000,0.4352450668811798
1583751672.2896574,3010,0.43789494037628174
1583751680.8147323,3020,0.4356522560119629
1583751689.3302515,3030,0.4347951412200928
1583751697.8441875,3040,0.43523696064949036
1583751731.9283748,3080,0.4353140592575073
1583751740.453453,3090,0.43332016468048096
1583751757.4828887,3110,0.4324806034564972
1583751783.0585058,3140,0.4358857572078705
1583751817.1228273,3180,0.4377526640892029
1583751825.6400077,3190,0.4387384057044983
1583751834.149636,3200,0.4385280907154083
1583751842.6644435,3210,0.4382408857345581
1583751960.7049713,3230,0.44365888833999634
1583751969.2720733,3240,0.44116896390914917
1583751977.8264234,3250,0.4369295537471771
1583751986.3918304,3260,0.4492530822753906
1583751994.951237,3270,0.4452970623970032
1583752003.4939938,3280,0.44835299253463745
1583752029.149653,3310,0.4503701329231262
1583752037.703727,3320,0.4503648579120636
1583752054.824529,3340,0.45205608010292053
1583752071.9286413,3360,0.45361262559890747
1583752089.0469007,3380,0.4522889256477356
1583752106.1570146,3400,0.4492088556289673
1583752123.2622564,3420,0.44768816232681274
1583752131.8062365,3430,0.44920819997787476
1583752140.3634946,3440,0.45071113109588623
1583752148.91423,3450,0.4519006609916687
1583752157.4724681,3460,0.4526754915714264
1583752166.0222547,3470,0.45311278104782104
1583752174.5770097,3480,0.4524460732936859
1583752183.140198,3490,0.4534502923488617
1583752191.707068,3500,0.45408734679222107
1583752208.8250046,3520,0.4540502429008484
1583752225.9280922,3540,0.4528205990791321
1583752234.4779153,3550,0.4520593583583832
1583752251.5813484,3570,0.45258623361587524
1583752368.172506,3590,0.47741055488586426
1583752376.7758133,3600,0.4714820683002472
