Wall time,Step,Value
1583787003.3963184,20,10.983717918395996
1583787020.720625,40,8.071911811828613
1583787039.5653741,60,7.106735706329346
1583787049.2925305,70,6.803590297698975
1583787066.6715944,90,6.361613750457764
1583787083.6828308,110,6.092863082885742
1583787092.2049918,120,5.995656967163086
1583787100.713265,130,5.901677131652832
1583787109.2265232,140,5.819146633148193
1583787117.738265,150,5.761754989624023
1583787126.2553725,160,5.71049165725708
1583787134.7688813,170,5.654104232788086
1583787143.2751417,180,5.6091837882995605
1583787151.7891438,190,5.577022552490234
1583787160.3014114,200,5.525033473968506
1583787168.809688,210,5.505226135253906
1583787185.8520856,230,5.453513145446777
1583787202.8785734,250,5.407773971557617
1583787211.3879173,260,5.38629150390625
1583787253.9738288,310,5.303928375244141
1583787262.4838505,320,5.289314270019531
1583787270.9933445,330,5.272454738616943
1583787279.5016,340,5.255495548248291
1583787288.0154865,350,5.2467474937438965
1583787404.876277,370,4.770920753479004
1583787430.5450134,400,4.763264179229736
1583787439.097883,410,4.7797160148620605
1583787456.2159076,430,4.746933460235596
1583787464.7699006,440,4.756851673126221
1583787473.3200183,450,4.754627704620361
1583787481.889516,460,4.760185241699219
1583787490.451325,470,4.772861480712891
1583787499.0077229,480,4.779659748077393
1583787516.1096644,500,4.781142711639404
1583787524.669001,510,4.774438381195068
1583787550.3462062,540,4.770560264587402
1583787558.9080312,550,4.768101215362549
1583787567.4648123,560,4.769775867462158
1583787576.011185,570,4.767858982086182
1583787584.5697231,580,4.766077995300293
1583787610.2336645,610,4.760273456573486
1583787618.7875881,620,4.752317905426025
1583787627.364976,630,4.758058071136475
1583787635.9214346,640,4.764301776885986
1583787644.4721336,650,4.766682147979736
1583787653.080202,660,4.773530960083008
1583787661.710793,670,4.780147075653076
1583787670.3673272,680,4.777226448059082
1583787678.9542665,690,4.773584365844727
1583787687.5416024,700,4.775955677032471
1583787809.232433,720,4.759706497192383
1583787819.0772774,730,4.610527515411377
1583787827.934611,740,4.560088634490967
1583787836.6946197,750,4.595095157623291
1583787854.072037,770,4.658829689025879
1583787871.6021268,790,4.685214996337891
1583787880.521307,800,4.691161155700684
1583787898.078742,820,4.710153579711914
