Wall time,Step,Value
1583787003.3963869,20,0.28668931126594543
1583787020.7206974,40,0.3310485780239105
1583787039.565442,60,0.32663798332214355
1583787049.2926095,70,0.3324660360813141
1583787066.6716695,90,0.3441985249519348
1583787083.6828973,110,0.3549679219722748
1583787092.2050583,120,0.35416191816329956
1583787100.7133348,130,0.3560745418071747
1583787109.2265906,140,0.3597642183303833
1583787117.73834,150,0.3582259714603424
1583787126.2554445,160,0.362051784992218
1583787134.768955,170,0.36510562896728516
1583787143.2752154,180,0.3647056818008423
1583787151.7892177,190,0.36628565192222595
1583787160.3014789,200,0.3664774000644684
1583787168.8097603,210,0.3667990267276764
1583787185.8521583,230,0.36870142817497253
1583787202.8786407,250,0.3701326549053192
1583787211.3879917,260,0.3697080612182617
1583787253.9738941,310,0.3707119822502136
1583787262.483923,320,0.37206774950027466
1583787270.993418,330,0.372697651386261
1583787279.5016727,340,0.3725312054157257
1583787288.0155625,350,0.3730601966381073
1583787404.8763537,370,0.42065271735191345
1583787430.5450797,400,0.4030122458934784
1583787439.0979548,410,0.39516282081604004
1583787456.2159743,430,0.39576390385627747
1583787464.769968,440,0.39313632249832153
1583787473.3200893,450,0.38889384269714355
1583787481.8895922,460,0.3873814344406128
1583787490.4513917,470,0.3888937830924988
1583787499.0077913,480,0.3862398564815521
1583787516.1097302,500,0.3910048305988312
1583787524.6690714,510,0.39145416021347046
1583787550.3462768,540,0.3895873725414276
1583787558.9080977,550,0.38955652713775635
1583787567.4648793,560,0.3887709975242615
1583787576.011256,570,0.3881942629814148
1583787584.5697901,580,0.38690516352653503
1583787610.233738,610,0.38831812143325806
1583787618.78766,620,0.38798806071281433
1583787627.3651018,630,0.3884999752044678
1583787635.9215064,640,0.38837581872940063
1583787644.4722095,650,0.38783568143844604
1583787653.0803156,660,0.3886696696281433
1583787661.710859,670,0.3894388973712921
1583787670.3674555,680,0.39097028970718384
1583787678.9543881,690,0.3907696306705475
1583787687.541967,700,0.3899998962879181
1583787809.2325442,720,0.36967721581459045
1583787819.077413,730,0.4043847918510437
1583787827.9346836,740,0.4141703248023987
1583787836.6947525,750,0.4061853289604187
1583787854.0721524,770,0.40686434507369995
1583787871.6022005,790,0.40104156732559204
1583787880.5217924,800,0.40201523900032043
1583787898.078873,820,0.40459808707237244
1583787906.8714352,830,0.4037121832370758
1583787924.2929027,850,0.4005156457424164
1583787932.958273,860,0.3997984230518341
1583787941.6204934,870,0.4013500511646271
1583787950.2697458,880,0.4014550745487213
1583787958.9331486,890,0.4022473990917206
1583787967.6742485,900,0.4027869701385498
1583787985.2585144,920,0.40007492899894714
1583787993.9969978,930,0.3991803824901581
1583788002.7385585,940,0.39954519271850586
1583788011.431489,950,0.398515909910202
1583788029.038176,970,0.39938122034072876
1583788055.219902,1000,0.3995327949523926
1583788064.1971438,1010,0.39956244826316833
1583788081.7030897,1030,0.3980916440486908
1583788099.4895997,1050,0.39830344915390015
1583788108.510697,1060,0.3981887996196747
1583788117.626352,1070,0.3970607817173004
1583788250.6849575,1100,0.39332959055900574
1583788259.3149118,1110,0.39309626817703247
1583788285.5819821,1140,0.40237635374069214
1583788311.6023018,1170,0.4054235517978668
1583788320.1655946,1180,0.40539222955703735
1583788328.8333905,1190,0.4048749804496765
1583788337.3921037,1200,0.4039144814014435
1583788346.066575,1210,0.4008543789386749
1583788372.3177655,1240,0.40082240104675293
1583788381.0377593,1250,0.40298590064048767
1583788389.918829,1260,0.4039352238178253
1583788398.8263302,1270,0.4032953679561615
1583788407.5489988,1280,0.40155160427093506
1583788424.8282146,1300,0.4016319513320923
1583788433.4623704,1310,0.4013565182685852
